start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
168.0325,168.0487,23750.0,27283.0,Echolocation,0.537,20220914_030000.WAV
168.2475,168.2612,25468.0,30663.0,Echolocation,0.628,20220914_030000.WAV
168.3855,168.399,25468.0,34624.0,Echolocation,0.622,20220914_030000.WAV
168.5855,168.601,23750.0,27761.0,Echolocation,0.677,20220914_030000.WAV
168.8385,168.8559,23750.0,27841.0,Echolocation,0.576,20220914_030000.WAV
168.8765,168.89260000000002,23750.0,27614.0,Echolocation,0.579,20220914_030000.WAV
169.2435,169.2596,22890.0,26304.0,Echolocation,0.695,20220914_030000.WAV
170.3365,170.352,24609.0,28287.0,Echolocation,0.643,20220914_030000.WAV
171.3365,171.3525,24609.0,30138.0,Echolocation,0.607,20220914_030000.WAV
171.6135,171.6265,25468.0,32136.0,Echolocation,0.57,20220914_030000.WAV
171.8775,171.8949,24609.0,28329.0,Echolocation,0.51,20220914_030000.WAV
172.1405,172.1562,24609.0,29554.0,Echolocation,0.508,20220914_030000.WAV
172.7965,172.8128,24609.0,27705.0,Echolocation,0.651,20220914_030000.WAV
173.2075,173.2276,23750.0,27123.0,Echolocation,0.567,20220914_030000.WAV
173.4185,173.4305,25468.0,29848.0,Echolocation,0.61,20220914_030000.WAV
173.4685,173.4855,23750.0,27600.0,Echolocation,0.639,20220914_030000.WAV
173.9195,173.9387,23750.0,27702.0,Echolocation,0.542,20220914_030000.WAV
173.9715,173.9862,25468.0,29367.0,Echolocation,0.549,20220914_030000.WAV
174.1835,174.2002,24609.0,26001.0,Echolocation,0.574,20220914_030000.WAV
174.9505,174.96620000000001,23750.0,30274.0,Echolocation,0.542,20220914_030000.WAV
175.8355,175.8567,23750.0,27336.0,Echolocation,0.557,20220914_030000.WAV
176.1115,176.1297,23750.0,26763.0,Echolocation,0.679,20220914_030000.WAV
176.4025,176.4225,23750.0,26598.0,Echolocation,0.625,20220914_030000.WAV
177.0875,177.1047,22890.0,26845.0,Echolocation,0.572,20220914_030000.WAV
178.0625,178.0814,23750.0,25847.0,Echolocation,0.66,20220914_030000.WAV
178.4595,178.4734,23750.0,28683.0,Echolocation,0.538,20220914_030000.WAV
178.6335,178.6522,23750.0,26132.0,Echolocation,0.633,20220914_030000.WAV
179.2155,179.2351,23750.0,26197.0,Echolocation,0.509,20220914_030000.WAV
181.1865,181.2047,23750.0,26255.0,Echolocation,0.578,20220914_030000.WAV
181.4775,181.4964,23750.0,26517.0,Echolocation,0.558,20220914_030000.WAV
181.9195,181.934,23750.0,28308.0,Echolocation,0.622,20220914_030000.WAV
183.8085,183.822,24609.0,29341.0,Echolocation,0.551,20220914_030000.WAV
186.4715,186.4822,24609.0,29933.0,Echolocation,0.512,20220914_030000.WAV
188.0335,188.0505,23750.0,26608.0,Echolocation,0.552,20220914_030000.WAV
188.8105,188.8228,25468.0,29068.0,Echolocation,0.557,20220914_030000.WAV
189.2375,189.2502,23750.0,29770.0,Echolocation,0.541,20220914_030000.WAV
189.4945,189.5098,24609.0,27962.0,Echolocation,0.532,20220914_030000.WAV
189.7525,189.7678,23750.0,29303.0,Echolocation,0.587,20220914_030000.WAV
190.3575,190.3727,23750.0,29067.0,Echolocation,0.543,20220914_030000.WAV
190.6105,190.625,23750.0,28235.0,Echolocation,0.569,20220914_030000.WAV
196.3835,196.3959,24609.0,30045.0,Echolocation,0.537,20220914_030000.WAV
198.6805,198.6916,25468.0,30864.0,Echolocation,0.647,20220914_030000.WAV
198.9535,198.9676,26328.0,32988.0,Echolocation,0.555,20220914_030000.WAV
199.1445,199.156,25468.0,30908.0,Echolocation,0.581,20220914_030000.WAV
200.2865,200.3011,24609.0,32365.0,Echolocation,0.547,20220914_030000.WAV
200.7495,200.7637,24609.0,30927.0,Echolocation,0.566,20220914_030000.WAV
200.8975,200.9133,24609.0,34915.0,Echolocation,0.538,20220914_030000.WAV
201.0575,201.0727,25468.0,32396.0,Echolocation,0.527,20220914_030000.WAV
201.2225,201.2368,25468.0,34620.0,Echolocation,0.589,20220914_030000.WAV
201.42849999999999,201.43880000000001,26328.0,36391.0,Echolocation,0.68,20220914_030000.WAV
201.5785,201.5911,26328.0,34445.0,Echolocation,0.533,20220914_030000.WAV
201.7015,201.7115,27187.0,38719.0,Echolocation,0.672,20220914_030000.WAV
202.5545,202.5642,28046.0,36770.0,Echolocation,0.627,20220914_030000.WAV
202.6805,202.6899,27187.0,33934.0,Echolocation,0.67,20220914_030000.WAV
202.7925,202.8036,27187.0,34827.0,Echolocation,0.585,20220914_030000.WAV
